naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Abies alba,https: / www.ebben.nl / nl / treeebb / abalba-abies-alba,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,15 - 20 m,30 - 60 m,gesloten,piramidaal,4B - 7B,vogels / uilen / kleine zoogdieren,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,landschappelijke beplanting / schaduwtolerant,park / grote tuin / begraafplaats / landschap / windsingel,geen,,
Abies concolor,https: / www.ebben.nl / nl / treeebb / abconcol-abies-concolor,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,10 - 12 m,25 - 30 m,gesloten,smal piramidaal,5A - 8B,vogels / uilen / kleine zoogdieren,zeer droog / droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Abelia x grandiflora,https: / www.ebben.nl / nl / treeebb / abgrandi-abelia-x-grandiflora,solitair heesters,onderbeplanting,,,"1,5 - 2 m","1,25 - 2 m",,,7B - 9B,bijen / vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon,matig voedselrijk,verdraagt matige wind / verdraagt matige zeewind,zuur / neutraal,ecobeplanting / schaduwtolerant / stedelijke beplanting,"park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Abies koreana,https: / www.ebben.nl / nl / treeebb / abkorean-abies-koreana,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,bol,bijenkorf / bol,6 - 8 m,12 - 15 m,gesloten,piramidaal,5B - 8B,vogels / uilen / kleine zoogdieren,droog / vochtig,,löss / veen / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur,schaduwtolerant,park / groenstrook / grote tuin / begraafplaats,geen,,
Abies nordmanniana,https: / www.ebben.nl / nl / treeebb / abnordma-abies-nordmanniana,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,6 - 8 m,25 - 30 m,gesloten,smal piramidaal,5A - 9B,vogels / uilen / kleine zoogdieren,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,schaduwtolerant,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap",geen,,
Abies procera,https: / www.ebben.nl / nl / treeebb / abprocer-abies-procera,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,meerstammig parasol,,6 - 8 m,20 - 25 m,gesloten,smal piramidaal,5A - 9B,vogels / uilen / kleine zoogdieren,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk,verdraagt wind,zuur / neutraal,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Acer buergerianum,https: / www.ebben.nl / nl / treeebb / acbuerge-acer-buergerianum,hoogstam bomen / meerstammige bomen / schaduwbomen / karakteristieke bomen,,meerstammig parasol,,6 - 8 m,8 - 10 m,halfopen,rond,6B - 9A,bijen,vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt matige zeewind,zuur / neutraal / basisch,stedelijke beplanting,"laan / plein / park / groenstrook / bakken / containers / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Acer campestre,https: / www.ebben.nl / nl / treeebb / accampes-acer-campestre,hoogstam bomen / beveerde bomen / meerstammige bomen / klimaatbomen / klimbomen / schaduwbomen / karakteristieke bomen / bosplantsoen,,meerstammig parasol,bijenkorf / bol / blok / zuil / haag / haagelement / leischerm / bonsai,7 - 8 m,10 - 12 m,gesloten,eirond,5A - 9A,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / landschappelijke beplanting / solide beplanting / schaduwtolerant / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone / windsingel / kustgebied",geen / open,1a,inheems
Acer capillipes,https: / www.ebben.nl / nl / treeebb / accapill-acer-capillipes,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,4 - 5 m,7 - 9 m,halfopen,breed vaas,6A - 7B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,ecobeplanting,park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen / open,,
Acer cappadocicum,https: / www.ebben.nl / nl / treeebb / accappad-acer-cappadocicum,hoogstam bomen / meerstammige bomen / schaduwbomen,,blok / dak / meerstammig parasol,,9 - 12 m,20 - 30 m,halfopen,breed eirond,6A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting,park / groenstrook / grote tuin / begraafplaats / landschap,geen,,
Acer carpinifolium,https: / www.ebben.nl / nl / treeebb / accarpin-acer-carpinifolium,solitair heesters,,meerstammig parasol,,4 - 7 m,6 - 9 m,halfopen,vaas,5B - 7B,,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt geen wind,zuur,,park / grote tuin / begraafplaats,geen,,
Acer cappadocicum 'Aureum',https: / www.ebben.nl / nl / treeebb / accaureu-acer-cappadocicum-aureum,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,6 - 9 m,10 - 15 m,halfopen,breed eirond,6A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,ecobeplanting,park / groenstrook / grote tuin / begraafplaats,geen,,
Acer campestre 'Elsrijk',https: / www.ebben.nl / nl / treeebb / accelsri-acer-campestre-elsrijk,hoogstam bomen / beveerde bomen / meerstammige bomen / klimaatbomen / klimbomen / schaduwbomen,,bijenkorf / blok / cilinder / trapezium / piramide / kegel / dak / lei / leischerm,cilinder / zuil / leischerm,7 - 8 m,10 - 12 m,gesloten,breed eirond,5A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / landschappelijke beplanting / solide beplanting / schaduwtolerant / stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone / windsingel / kustgebied",geen / open / dicht,,
Acer campestre 'Green Column',https: / www.ebben.nl / nl / treeebb / accgcolu-acer-campestre-green-column,hoogstam bomen / klimaatbomen,,,,2 - 3 m,6 - 12 m,gesloten,zuil,5A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen / open / dicht,,
Acer campestre 'Huibers Elegant',https: / www.ebben.nl / nl / treeebb / accheleg-acer-campestre-huibers-elegant,hoogstam bomen / beveerde bomen / klimaatbomen,,dak / lei / leischerm,,3 - 4 m,6 - 10 m,gesloten,eirond,5A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / schaduwtolerant / stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / landschap / kustgebied",geen / open / dicht,,
Acer circinatum,https: / www.ebben.nl / nl / treeebb / accircin-acer-circinatum,meerstammige bomen / solitair heesters,,,,6 - 9 m,6 - 10 m,halfopen,rond,5A - 9A,bijen,vochtig,verdraagt kortstondige overstroming,zavel / veen / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / grote tuin / begraafplaats / wadi,geen,,
Acer cissifolium,https: / www.ebben.nl / nl / treeebb / accissif-acer-cissifolium,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,6 - 8 m,8 - 12 m,halfopen,afgeplat rond,5B - 8A,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting,park / groenstrook / grote tuin / begraafplaats,open,,
Acer cappadocicum subsp. lobelii,https: / www.ebben.nl / nl / treeebb / acclobel-acer-cappadocicum-subsp-lobelii,hoogstam bomen,,,,3 - 5 m,12 - 18 m,halfopen,zuil,6B - 9A,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,ecobeplanting / stedelijke beplanting,straat / laan / plein / parkeerplaats / park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen / open / dicht,,
Acer campestre 'Nanum',https: / www.ebben.nl / nl / treeebb / accnanum-acer-campestre-nanum,hoogstam bomen / halfstam bomen / klimaatbomen,,bol / blok,,2 - 3 m,5 - 6 m,gesloten,rond,5A - 9B,,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / solide beplanting / schaduwtolerant,"straat / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Acer campestre 'Queen Elizabeth',https: / www.ebben.nl / nl / treeebb / accqeliz-acer-campestre-queen-elizabeth,hoogstam bomen / beveerde bomen / klimaatbomen / schaduwbomen,,,,6 - 8 m,6 - 12 m,gesloten,eirond,5A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / schaduwtolerant,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie / landschap / kustgebied",geen / open / dicht,,
Acer campestre 'Red Shine',https: / www.ebben.nl / nl / treeebb / accrshin-acer-campestre-red-shine,hoogstam bomen / klimaatbomen,,lei / leischerm,,4 - 5 m,7 - 8 m,gesloten,eirond,5A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt matige zeewind,neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / schaduwtolerant,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie / kustgebied",geen / open / dicht,,
Acer cappadocicum 'Rubrum',https: / www.ebben.nl / nl / treeebb / accrubru-acer-cappadocicum-rubrum,hoogstam bomen / meerstammige bomen / schaduwbomen,,blok / dak / vaas / meerstammig parasol / lei / leischerm,,6 - 9 m,10 - 15 m,halfopen,breed eirond,6A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,ecobeplanting,laan / park / groenstrook / grote tuin / begraafplaats,geen,,
Acer campestre 'Zorgvlied',https: / www.ebben.nl / nl / treeebb / acczorgv-acer-campestre-zorgvlied,hoogstam bomen / schaduwbomen,,lei / leischerm,,6 - 8 m,7 - 8 m,gesloten,eirond,5A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,ecobeplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
