naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Zilverspar (G),Abies,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone zilverspar,Abies alba,,schaduw / halfschaduw / zon,vochtig / nat,,3.857142857142857,3.0,7.0,6.083333333333333,5.0,7.0,4.65625,3.0,5.25,5.5,4.0,6.0,5.25,5.0,6.0,0.0,0.0,0.0,30.0,15.0,4B,Löss | Zavel | Lichte klei | Zand | Leem
Griekse zilverspar,Abies cephalonica,,zon,droog,,8.0,8.0,8.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
Colorado-zilverspar,Abies concolor,,,,,,,,,,,,,,,,,,,,,,,25.0,10.0,5A,Löss | Zavel | Lichte klei | Zand | Leem
Reuzenzilverspar,Abies grandis,,zon,vochtig,,7.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,,,,
Koreaanse zilverspar,Abies koreana,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,5B,Löss | Veen | Lichte klei | Zand | Leem
Kaukasische zilverspar,Abies nordmanniana,,zon,vochtig,,7.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,25.0,6.0,5A,Löss | Zavel | Lichte klei | Zand | Leem
Spaanse zilverspar,Abies pinsapo,,zon,droog,,8.0,8.0,8.0,4.0,4.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Edelspar,Abies procera,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,5A,Löss | Zavel | Lichte klei | Zand | Leem
Japanse zilverspar,Abies veitchii,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon (G),Abutilon,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluweelblad,Abutilon theophrasti,nee,halfschaduw / zon,droog / vochtig / nat,,7.5,6.0,8.0,5.208333333333333,4.0,7.0,8.285714285714286,6.0,11.0,5.8,4.0,8.0,6.6,5.0,8.0,0.4,0.0,1.0,,,,
,Acaena,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acaena microphylla,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acaena novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acaena ovalifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acalypha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acalypha australis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acalypha virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongaarse acanthus,Acanthus hungaricus,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachte acanthus,Acanthus mollis,,halfschaduw / zon,droog,,6.0,5.0,7.0,3.5,3.0,4.0,8.333333333333334,8.0,9.0,7.5,7.0,8.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
Esdoorn (G),Acer,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaanse aak,Acer campestre,ja,halfschaduw / zon,droog / vochtig,,5.666666666666667,5.0,8.0,4.925,3.0,6.25,6.583333333333333,5.25,9.0,5.375,3.0,6.0,7.25,7.0,9.0,0.0,0.0,0.0,10.0,7.0,5A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Streepjesbast-esdoorn,Acer capillipes,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,6A,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Colchische esdoorn,Acer cappadocicum,,,,,,,,,,,,,,,,,,,,,,,20.0,9.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Acer cappadocicum 'Rubrum',,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,6A,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Vederesdoorn,Acer negundo,nee,halfschaduw / zon,vochtig / nat,,6.166666666666667,5.0,8.0,6.208333333333333,6.0,7.0,6.428571428571429,6.0,8.0,6.8,6.0,7.0,6.8,6.0,7.0,0.2,0.0,1.0,10.0,8.0,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Japanse esdoorn,Acer palmatum,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,5B,Löss | Zavel | Lichte klei | Zand | Leem
Pennsylvanische esdoorn,Acer pensylvanicum,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,5B,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Noorse esdoorn,Acer platanoides,nee,halfschaduw / zon,vochtig / nat,,4.6875,4.0,7.0,5.583333333333333,5.0,6.5,5.84375,4.75,7.0,6.333333333333332,6.0,7.0,6.5,5.0,7.0,0.0,0.0,0.0,20.0,15.0,4A,Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Gewone esdoorn,Acer pseudoplatanus,ja,halfschaduw / zon,vochtig / nat / zeer nat,,4.722222222222222,4.0,7.0,6.15,5.0,9.0,5.607142857142857,5.0,9.0,6.625,5.0,7.0,5.833333333333333,5.0,7.0,0.0,0.0,0.0,25.0,20.0,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Rode esdoorn,Acer rubrum,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,4A,Löss | Zavel | Veen | Zand | Leem
Grijze streepjesbast-esdoorn,Acer rufinerve,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,5B,Löss | Zavel | Lichte klei | Zand | Leem
Witte esdoorn,Acer saccharinum,,,,,,,,,,,,,,,,,,,,,,,18.0,12.0,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Acer saccharum,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Acer tataricum,,halfschaduw,droog / vochtig,,5.0,5.0,5.0,5.125,4.0,6.25,6.833333333333333,5.5,8.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1.0,1.0,5.0,5.0,3A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Amoer-esdoorn,Acer tataricum subsp. ginnala,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,3A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Freemans esdoorn,Acer x freemanii,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,4A,Löss | Zavel | Veen | Lichte klei | Zand | Leem
,Achillea,,,,,,,,,,,,,,,,,,,,,,,,,,
Geel duizendblad,Achillea filipendulina,nee,zon,droog,,8.0,8.0,8.0,4.0,4.0,4.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
,Achillea micrantha,,zon,droog,,8.0,8.0,8.0,4.0,4.0,4.0,5.75,5.75,5.75,,,,,,,,,,,,,
Duizendblad,Achillea millefolium,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Edel duizendblad,Achillea nobilis,,zon,droog / vochtig,,8.0,8.0,8.0,3.7,3.0,4.5,6.895833333333333,5.0,8.0,1.25,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Wilde bertram,Achillea ptarmica,ja,zon,nat / zeer nat,,7.542857142857143,7.0,8.0,7.53125,7.0,8.0,5.166666666666667,4.0,7.0,3.033333333333333,2.0,5.0,4.166666666666667,4.0,5.0,0.0,0.0,0.0,,,,
,Achillea setacea,,zon,zeer droog / droog,,8.5,7.0,9.0,2.45,2.0,4.25,6.75,5.5,7.0,1.25,1.0,2.0,7.0,7.0,7.0,0.75,0.0,3.0,,,,
,Achillea umbellata,,,,,,,,,,,,,,,,,,,,,,,,,,
,Achillea virescens,,zon,droog,,7.0,7.0,7.0,3.5,3.0,4.0,5.0,3.0,6.0,1.5,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
,Acicarpha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acicarpha tribuloides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acmella decumbens,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acmispon americanus,,,,,,,,,,,,,,,,,,,,,,,,,,
Monnikskap (G),Aconitum,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuren monnikskap,Aconitum carmichaelii,,,,,,,,,,,,,,,,,,,,,,,,,,
Blauwe monnikskap,Aconitum napellus,,,,,,,,,,,,,,,,,,,,,,,,,,
Gele monnikskap,Aconitum vulparia,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Tuinmonnikskap,Aconitum x stoerkianum,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorus (G),Acorus,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalmoes,Acorus calamus,ja,zon,zeer nat,,8.0,8.0,8.0,9.78125,9.0,10.0,6.321428571428571,5.25,7.0,7.166666666666667,7.0,8.0,7.0,7.0,7.0,0.16666666666666666,0.0,1.0,,,,
Actaea (G),Actaea,,,,,,,,,,,,,,,,,,,,,,,,,,
Christoffelkruid,Actaea spicata,ja,schaduw / halfschaduw,vochtig / nat,,2.9375,2.0,4.5,5.375,5.0,7.0,4.53125,3.0,5.0,6.571428571428571,5.0,7.0,6.857142857142857,6.0,9.0,0.0,0.0,0.0,,,,
,Actinidia,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi,Actinidia deliciosa,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenocarpus complicatus,,zon,zeer droog / droog,,8.25,7.0,9.0,3.4166666666666665,2.0,4.0,7.604166666666668,6.0,9.0,2.5555555555555567,1.0,4.0,2.6111111111111103,2.0,4.0,0.0,0.0,0.0,,,,
,Adenostyles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenostyles alpina,,schaduw / halfschaduw / zon,vochtig / nat,,5.75,3.0,7.0,6.6875,6.0,7.0,3.0,2.0,6.0,7.083333333333333,6.0,8.0,7.333333333333333,6.0,8.0,0.0,0.0,0.0,,,,
Venushaar (G),Adiantum,,,,,,,,,,,,,,,,,,,,,,,,,,
Noordelijke hoefijzervaren,Adiantum aleuticum,,,,,,,,,,,,,,,,,,,,,,,,,,
Echt venushaar,Adiantum capillus-veneris,,schaduw / halfschaduw / zon,vochtig / nat / zeer nat,,4.583333333333333,2.0,7.5,7.583333333333333,6.0,9.0,7.958333333333333,6.0,11.0,2.8,1.0,5.0,7.0,5.0,9.0,0.0,0.0,0.0,,,,
Hoefijzervaren,Adiantum pedatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Fijn venushaar,Adiantum raddianum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adiantum venustum,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis (G),Adonis,,,,,,,,,,,,,,,,,,,,,,,,,,
Zomeradonis,Adonis aestivalis,ja,halfschaduw / zon,droog / vochtig,,7.0,6.0,8.0,3.4583333333333335,3.0,4.75,6.428571428571429,6.0,8.0,3.8,3.0,5.0,7.8,7.0,8.0,0.0,0.0,0.0,,,,
Herfstadonis,Adonis annua,,zon,droog / vochtig,,7.6,7.0,8.0,4.0,3.0,5.0,7.716666666666666,6.0,11.0,5.0,4.0,6.0,6.5,5.0,7.0,0.0,0.0,0.0,,,,
Kooltje-vuur,Adonis flammea,,halfschaduw / zon,droog,,7.0,6.0,8.0,3.375,3.0,4.25,6.428571428571429,6.0,8.0,3.2,2.0,5.0,8.6,8.0,9.0,0.0,0.0,0.0,,,,
Voorjaarsadonis,Adonis vernalis,,zon,droog,,7.6,7.0,8.0,3.25,3.0,4.25,6.708333333333333,5.25,9.0,1.5,1.0,2.0,7.5,7.0,8.0,0.0,0.0,0.0,,,,
Adoxa (G),Adoxa,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskuskruid,Adoxa moschatellina,ja,schaduw / halfschaduw,vochtig / nat,,4.3125,3.0,5.0,6.125,5.0,7.0,4.75,4.0,5.0,7.285714285714286,5.0,8.0,6.857142857142857,6.0,7.0,0.0,0.0,0.0,,,,
,Aegilops,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aegilops caudata,,zon,droog / vochtig,,8.0,8.0,8.0,4.5,4.0,5.0,11.0,11.0,11.0,4.0,3.0,5.0,7.5,7.0,8.0,0.0,0.0,0.0,,,,
Eennaaldgeitenoog,Aegilops cylindrica,,zon,zeer droog / droog,,8.6,8.0,9.0,2.75,1.0,4.0,8.416666666666666,5.5,11.0,4.0,2.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
,Aegilops neglecta,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,2.9375,1.0,5.0,9.55,6.75,12.0,5.333333333333333,4.0,7.0,7.333333333333333,7.0,8.0,0.0,0.0,0.0,,,,
