naam;wetenschappelijke_naam;inheems;standplaats_licht;vocht;bodem;ellenberg_l;ellenberg_l_min;ellenberg_l_max;ellenberg_f;ellenberg_f_min;ellenberg_f_max;ellenberg_t;ellenberg_t_min;ellenberg_t_max;ellenberg_n;ellenberg_n_min;ellenberg_n_max;ellenberg_r;ellenberg_r_min;ellenberg_r_max;ellenberg_s;ellenberg_s_min;ellenberg_s_max;hoogte;breedte;winterhardheidszone;grondsoorten
Bittere wilg;Salix purpurea;ja;zon;nat / zeer nat;;8,055555556;7,5;9;8,291666667;7;9;4,833333333;3;6;4,5;3;5;7,5;7;8;0;0;0;3;3;4A;Zavel | Zware klei | Zand | Leem
Katwilg;Salix viminalis;ja;zon;nat / zeer nat;;7,4375;7;8;7,972222222;7,75;8;5,75;5;6;5,6;4;6;7,142857143;6;8;0;0;0;3;3;4A;Zavel | Zware klei | Lichte klei
Laurierwilg;Salix pentandra;ja;zon;nat / zeer nat;;7,071428571;7;7,5;8,09375;8;8,75;4,5;4;5;4;4;4;5,666666667;5;6;0;0;0;10;5;5A;Zavel | Lichte klei | Zand | Leem
Jeneverbes;Juniperus communis;ja;zon;droog / vochtig / nat;;8,134259259;7;9;4,1625;3;6,75;4,163194444;2;6;2,75;1;4;4,966666667;3;7;0;0;0;5;2;3A;Zavel | Lichte klei | Zand | Leem
Pontische rododendron;Rhododendron ponticum;ja;halfschaduw;vochtig;;4,5;4;5;5,333333333;5;6;5;5;5;4,5;3;6;3,5;3;4;0;0;0;3;3;6A;Veen | Zand | Leem
Struikhei;Calluna vulgaris;ja;halfschaduw / zon;vochtig / nat;;7,666666667;6;9;5,642857143;5;7;4,571428571;3;6;1,375;1;3;1,5;1;3;0;0;0;0,6;0,6;5A;Veen | Zand
Es;Fraxinus excelsior;ja;halfschaduw / zon;vochtig / nat / zeer nat;;5;4;8;6,71875;6;9;5,583333333;5;9;6,625;6;7;7,25;7;9;0;0;0;25;20;4A;Löss | Zware klei | Lichte klei | Leem
Noorse esdoorn;Acer platanoides;nee;halfschaduw / zon;vochtig / nat;;4,6875;4;7;5,583333333;5;6,5;5,84375;4,75;7;6,333333333;6;7;6,5;5;7;0;0;0;20;15;4A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Hazelaar;Corylus avellana;ja;halfschaduw / zon;vochtig / nat;;5,6;4;8;5,611111111;5;7;5,9;5;10;5,777777778;4;8;5,857142857;5;7;0;0;0;5;4;5A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Tweestijlige meidoorn;Crataegus laevigata;ja;halfschaduw / zon;vochtig;;5,666666667;5;7;5,208333333;5;6,25;5,666666667;5;6;4,8;4;5;6,2;5;7;0;0;0;5;3;5A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Schietwilg;Salix alba;ja;halfschaduw / zon;nat / zeer nat;;6;5;9;8,045454545;7;10;6,4;5;11;6,888888889;5;8;7,777777778;7;8;0,125;0;1;15;12;4A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Gewone vlier;Sambucus nigra;ja;halfschaduw / zon;vochtig / nat / zeer nat;;6,555555556;5;8;5,916666667;5;9;5,722222222;5;9;8;7;9;6,666666667;6;8;0;0;0;3;3;4A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Dwergkrentenboompje;Amelanchier spicata;;zon;droog / vochtig;;7;7;7;4;3;5;4;4;4;3;3;3;;;;0;0;0;2;2;5A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Eenstijlige meidoorn;Crataegus monogyna;ja;halfschaduw / zon;droog / vochtig;;7,009259259;6;9;4,444444444;3;6;6,401041667;5;10;4,416666667;2;6;6,791666667;4;8;0,238095238;0;5;6;2;5A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Sleedoorn;Prunus spinosa;ja;halfschaduw / zon;zeer droog / droog / vochtig;;7,166666667;6;9;4,041666667;1;5,5;5,555555556;4,75;8;4;1;6;6,428571429;5;7;0,142857143;0;1;3;3;5A;Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
Ruwe iep;Ulmus glabra;ja;halfschaduw / zon;vochtig / nat / zeer nat;;4,6875;4;7;6,361111111;5;8;5,59375;4,75;9;6,571428571;6;7;6,714285714;5;9;0;0;0;25;15;5A;Löss | Zavel | Zware klei | Lichte klei | Leem
Hulst;Ilex aquifolium;ja;halfschaduw / zon;vochtig / nat;;4,75;4;8;5,222222222;5;7;5,75;5;9;4,5;2;5;4;3;5;0;0;0;5;3;6A;Löss | Zavel | Zand | Leem
Rode bosbes;Vaccinium vitis-idaea;ja;halfschaduw;droog / vochtig;;5,0625;4,5;6;4,805555556;4;6,25;3,194444444;1;4;1,857142857;1;3;2;2;2;0;0;0;0,1;1;1A;Löss | Zavel | Zand | Leem
Rode kamperfoelie;Lonicera xylosteum;ja;halfschaduw / zon;zeer droog / droog / vochtig;;5,1875;4;7;4,805555556;2;6,25;5,21875;4;6;5,166666667;3;6;7,285714286;7;9;0;0;0;0,8;1;3A;Löss | Zavel | Zand | Leem
Amerikaanse vogelkers;Prunus serotina;ja;halfschaduw;vochtig / nat;;5,6;4;6;5,25;5;6,5;6,375;6;8;4;4;4;4;4;4;0;0;0;5;5;4A;Löss | Zavel | Zand | Leem
Appel;Malus sylvestris;ja;halfschaduw / zon;droog / vochtig / nat;;6,888888889;5;9;4,916666667;3;6,5;5,513888889;4,25;6;4,625;1;6;6,375;4;7;0;0;0;3;4;4A;Löss | Zavel | Zand | Leem
Geoorde wilg;Salix aurita;ja;halfschaduw / zon;nat / zeer nat;;6,9375;6;7,5;8,055555556;8;8,5;4,583333333;3;6;3;3;3;3,714285714;3;4;0;0;0;0,5;0,5;5B;Löss | Zavel | Zand | Leem
Zuurbes;Berberis vulgaris;ja;halfschaduw / zon;zeer droog / droog / vochtig;;7,111111111;6;9;3,888888889;1;5;5,75;5;7;3;1;4;8,125;8;9;0;0;0;1;1;4A;Löss | Zavel | Zand | Leem
Gaspeldoorn;Ulex europaeus;ja;zon;droog / vochtig;;7,5;7;9;4,75;4;5;6,5;6;7;2,333333333;1;3;3,458333333;3;5;0,3;0;6;2;2;7A;Löss | Zavel | Zand | Leem
Gewone salomonszegel;Polygonatum multiflorum;ja;schaduw / halfschaduw / zon;vochtig / nat;;3,5;2;7;5,21875;5;6,75;5,857142857;5;9;4,857142857;4;6;6,571428571;5;8;0;0;0;0,25;0,6;3A;Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Mannetjesvaren;Dryopteris filix-mas;ja;schaduw / halfschaduw / zon;vochtig / nat / zeer nat;;3,777777778;3;7;5,625;5;9;5,625;4,75;9;5,625;4;6;5,25;5;6;0;0;0;0,75;1;2B;Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
